protocol_id,platform,tool_version,top,width,implementation,architecture,evidence_class,status,support_status,nand2_static,dff_static,state_bits,input_bits,output_bits,port_bits,wire_bits,connections_static,max_fanout,cross_lane_connections,unit_nand_critical_depth,combinational_loop_status,netlist_sha256,warning_count,notes
PAH-BUILD002-CONF0001,windows-x64,"Yosys 0.68+120 (git sha1 a34d3baae-dirty, Release, GNU [REDACTED_PATH] 15.2.1)",pa_bin_mul_w4,4,BIN-FU,BINARY_POSITIONAL,STRUCTURAL_DECLARED,PASS,SYNTHESIZED_AND_VALIDATED,320,0,0,8,8,16,328,648,56,0,40,ACYCLIC,6614c000bec5208d4875b5da9e0c17358da3d91a7e05d301587470fb26c8098d,0,Warning count was parsed from the corresponding synthesis log.
PAH-BUILD002-CONF0001,windows-x64,"Yosys 0.68+120 (git sha1 a34d3baae-dirty, Release, GNU [REDACTED_PATH] 15.2.1)",pa_bin_mul_w4,4,BIN-FU,BINARY_POSITIONAL,STRUCTURAL_OPTIMIZED,PASS,SYNTHESIZED_AND_VALIDATED,127,0,0,8,8,16,203,262,5,0,31,ACYCLIC,683e171ada0941e5db6951993cc132c44fa83cc9b29b121ae389ee813fdd387f,1,Warning count was parsed from the corresponding synthesis log.
PAH-BUILD002-CONF0001,windows-x64,"Yosys 0.68+120 (git sha1 a34d3baae-dirty, Release, GNU [REDACTED_PATH] 15.2.1)",pa_bin_sub_w4,4,BIN-FU,BINARY_POSITIONAL,STRUCTURAL_DECLARED,PASS,SYNTHESIZED_AND_VALIDATED,55,0,0,8,5,13,63,115,11,0,17,ACYCLIC,47328f958d2a958f851f37ca9e93352b69ce1998663f6242b5b700f6a12b5fb8,0,Warning count was parsed from the corresponding synthesis log.
PAH-BUILD002-CONF0001,windows-x64,"Yosys 0.68+120 (git sha1 a34d3baae-dirty, Release, GNU [REDACTED_PATH] 15.2.1)",pa_bin_sub_w4,4,BIN-FU,BINARY_POSITIONAL,STRUCTURAL_OPTIMIZED,PASS,SYNTHESIZED_AND_VALIDATED,42,0,0,8,5,13,54,89,4,0,12,ACYCLIC,77d41438e07b9b8e819b230ba6bbf17ca57f315d5fdb2916e0e6c09394086a83,1,Warning count was parsed from the corresponding synthesis log.
PAH-BUILD002-CONF0001,windows-x64,"Yosys 0.68+120 (git sha1 a34d3baae-dirty, Release, GNU [REDACTED_PATH] 15.2.1)",pa_bin_to_therm_w4,4,REPRESENTATION-ADAPTER-S4,BINARY_EXPONENT_TO_THERMOMETER,STRUCTURAL_DECLARED,PASS,SYNTHESIZED_AND_VALIDATED,407,0,0,6,8,14,413,822,121,0,19,ACYCLIC,636ac28d2942d09d5a1d95eb04612b6324bcbf090c54ff725aeac0568ce84962,0,Warning count was parsed from the corresponding synthesis log.
PAH-BUILD002-CONF0001,windows-x64,"Yosys 0.68+120 (git sha1 a34d3baae-dirty, Release, GNU [REDACTED_PATH] 15.2.1)",pa_bin_to_therm_w4,4,REPRESENTATION-ADAPTER-S4,BINARY_EXPONENT_TO_THERMOMETER,STRUCTURAL_OPTIMIZED,PASS,SYNTHESIZED_AND_VALIDATED,9,0,0,6,8,14,32,26,4,0,2,ACYCLIC,0466b47e839248e603fb40d00bb9005fc80647b3ac0d7558333f638771716fd9,1,Warning count was parsed from the corresponding synthesis log.
PAH-BUILD002-CONF0001,windows-x64,"Yosys 0.68+120 (git sha1 a34d3baae-dirty, Release, GNU [REDACTED_PATH] 15.2.1)",pa_bin_vsc_w4,4,VALUATION-SIDECAR-S4,BINARY_WITH_VALUATION_SIDECAR,STRUCTURAL_DECLARED,PASS,SYNTHESIZED_AND_VALIDATED,1202,0,0,16,15,31,1218,2419,172,0,58,ACYCLIC,8647b5d1229e6283196bbbda1a01c51dd17b820d50376c592ec8a765426f379e,0,Warning count was parsed from the corresponding synthesis log.
PAH-BUILD002-CONF0001,windows-x64,"Yosys 0.68+120 (git sha1 a34d3baae-dirty, Release, GNU [REDACTED_PATH] 15.2.1)",pa_bin_vsc_w4,4,VALUATION-SIDECAR-S4,BINARY_WITH_VALUATION_SIDECAR,STRUCTURAL_OPTIMIZED,PASS,SYNTHESIZED_AND_VALIDATED,322,0,0,16,15,31,623,659,14,0,25,ACYCLIC,4b43f8817f1cc04262f455fb3bd2d56a90f5307ab2ae1983ec37a3d392febfb2,1,Warning count was parsed from the corresponding synthesis log.
PAH-BUILD002-CONF0001,windows-x64,"Yosys 0.68+120 (git sha1 a34d3baae-dirty, Release, GNU [REDACTED_PATH] 15.2.1)",pa_binexp_cancel_w4,4,VFU-BINEXP-S4,BINARY_EXPONENT,STRUCTURAL_DECLARED,PASS,SYNTHESIZED_AND_VALIDATED,282,0,0,14,8,22,296,572,48,0,24,ACYCLIC,6253b907b05b41e87ada7483265c7ca71e1aa3e6c053ec242eb7d76544c1a397,0,Warning count was parsed from the corresponding synthesis log.
PAH-BUILD002-CONF0001,windows-x64,"Yosys 0.68+120 (git sha1 a34d3baae-dirty, Release, GNU [REDACTED_PATH] 15.2.1)",pa_binexp_cancel_w4,4,VFU-BINEXP-S4,BINARY_EXPONENT,STRUCTURAL_OPTIMIZED,PASS,SYNTHESIZED_AND_VALIDATED,84,0,0,14,8,22,108,176,8,0,14,ACYCLIC,c0678a8f1ca117d003534e9bbd0aa5c0adc888f2ad2c2304a2c42c062f2c8bb0,1,Warning count was parsed from the corresponding synthesis log.
