width,family,trace_id,candidate,baseline,cache_capacity,speculation_budget,stable_cycle_prefix,stable_service_nand_prefix,final_cycle_delta,final_service_nand_delta,final_no_worse_both,strictly_better_at_least_one,eligible_for_frozen_decision,attribution
8,THRESHOLD_STAIRCASE,ascending-descending-shuffled,BIN_PRIME_FRONTIER_PROP_K,BIN_CONTENT_ANSWER_LRU_K,1,0,2,2,-129,-94872,true,true,false,GENERIC_OR_UNATTRIBUTED
8,THRESHOLD_STAIRCASE,ascending-descending-shuffled,BIN_PRIME_FRONTIER_PROP_K,BIN_FRONTIER_NOPROP_K,1,0,0,0,0,0,true,false,false,GENERIC_OR_UNATTRIBUTED
8,THRESHOLD_STAIRCASE,ascending-descending-shuffled,BIN_PRIME_FRONTIER_SPEC_B1_K,BIN_PRIME_FRONTIER_PROP_K,1,1,-1,-1,1,1131,false,false,false,GENERIC_OR_UNATTRIBUTED
8,THRESHOLD_STAIRCASE,ascending-descending-shuffled,BIN_PRIME_FRONTIER_SPEC_B4_K,BIN_PRIME_FRONTIER_PROP_K,1,4,-1,-1,44,32276,false,false,false,GENERIC_OR_UNATTRIBUTED
8,THRESHOLD_STAIRCASE,ascending-descending-shuffled,BIN_CONTENT_ANSWER_LRU_K,BIN_DIRECT_BEST,2,0,7,7,-593,-408737,true,true,false,GENERIC_MEMOIZATION
8,THRESHOLD_STAIRCASE,ascending-descending-shuffled,BIN_FRONTIER_NOPROP_K,BIN_DIRECT_BEST,2,0,2,2,-722,-500951,true,true,false,GENERIC_CHECKPOINT
8,THRESHOLD_STAIRCASE,ascending-descending-shuffled,BIN_PRIME_FRONTIER_PROP_K,BIN_DIRECT_BEST,2,0,2,2,-722,-500951,true,true,false,GENERIC_OR_UNATTRIBUTED
8,THRESHOLD_STAIRCASE,ascending-descending-shuffled,BIN_PRIME_FRONTIER_PROP_K,BIN_CONTENT_ANSWER_LRU_K,2,0,2,2,-129,-92214,true,true,false,GENERIC_OR_UNATTRIBUTED
8,THRESHOLD_STAIRCASE,ascending-descending-shuffled,BIN_PRIME_FRONTIER_PROP_K,BIN_FRONTIER_NOPROP_K,2,0,0,0,0,0,true,false,false,GENERIC_OR_UNATTRIBUTED
8,THRESHOLD_STAIRCASE,ascending-descending-shuffled,BIN_PRIME_FRONTIER_SPEC_B1_K,BIN_PRIME_FRONTIER_PROP_K,2,1,-1,-1,1,1574,false,false,false,GENERIC_OR_UNATTRIBUTED
8,THRESHOLD_STAIRCASE,ascending-descending-shuffled,BIN_PRIME_FRONTIER_SPEC_B4_K,BIN_PRIME_FRONTIER_PROP_K,2,4,-1,-1,44,35820,false,false,false,GENERIC_OR_UNATTRIBUTED
8,THRESHOLD_STAIRCASE,ascending-descending-shuffled,BIN_CONTENT_ANSWER_LRU_K,BIN_DIRECT_BEST,4,0,7,7,-593,-387876,true,true,false,GENERIC_MEMOIZATION
8,THRESHOLD_STAIRCASE,ascending-descending-shuffled,BIN_FRONTIER_NOPROP_K,BIN_DIRECT_BEST,4,0,2,3,-722,-474648,true,true,false,GENERIC_CHECKPOINT
8,THRESHOLD_STAIRCASE,ascending-descending-shuffled,BIN_PRIME_FRONTIER_PROP_K,BIN_DIRECT_BEST,4,0,2,3,-722,-474648,true,true,false,GENERIC_OR_UNATTRIBUTED
8,THRESHOLD_STAIRCASE,ascending-descending-shuffled,BIN_PRIME_FRONTIER_PROP_K,BIN_CONTENT_ANSWER_LRU_K,4,0,2,2,-129,-86772,true,true,false,GENERIC_OR_UNATTRIBUTED
8,THRESHOLD_STAIRCASE,ascending-descending-shuffled,BIN_PRIME_FRONTIER_PROP_K,BIN_FRONTIER_NOPROP_K,4,0,0,0,0,0,true,false,false,GENERIC_OR_UNATTRIBUTED
8,THRESHOLD_STAIRCASE,ascending-descending-shuffled,BIN_PRIME_FRONTIER_SPEC_B1_K,BIN_PRIME_FRONTIER_PROP_K,4,1,-1,-1,1,2481,false,false,false,GENERIC_OR_UNATTRIBUTED
8,THRESHOLD_STAIRCASE,ascending-descending-shuffled,BIN_PRIME_FRONTIER_SPEC_B4_K,BIN_PRIME_FRONTIER_PROP_K,4,4,-1,-1,34,34788,false,false,false,GENERIC_OR_UNATTRIBUTED
8,RATIONAL_CANCEL,selected-primes-plus-full-gcd,BIN_CONTENT_ANSWER_LRU_K,BIN_DIRECT_BEST,1,0,-1,-1,16,14016,false,false,false,GENERIC_MEMOIZATION
8,RATIONAL_CANCEL,selected-primes-plus-full-gcd,BIN_FRONTIER_NOPROP_K,BIN_DIRECT_BEST,1,0,-1,-1,18,14892,false,false,false,GENERIC_CHECKPOINT
8,RATIONAL_CANCEL,selected-primes-plus-full-gcd,BIN_PRIME_FRONTIER_PROP_K,BIN_DIRECT_BEST,1,0,-1,-1,18,14892,false,false,false,GENERIC_OR_UNATTRIBUTED
8,RATIONAL_CANCEL,selected-primes-plus-full-gcd,BIN_PRIME_FRONTIER_PROP_K,BIN_CONTENT_ANSWER_LRU_K,1,0,-1,-1,2,876,false,false,false,GENERIC_OR_UNATTRIBUTED
8,RATIONAL_CANCEL,selected-primes-plus-full-gcd,BIN_PRIME_FRONTIER_PROP_K,BIN_FRONTIER_NOPROP_K,1,0,0,0,0,0,true,false,false,GENERIC_OR_UNATTRIBUTED
8,RATIONAL_CANCEL,selected-primes-plus-full-gcd,BIN_PRIME_FRONTIER_SPEC_B1_K,BIN_PRIME_FRONTIER_PROP_K,1,1,-1,-1,22,16138,false,false,false,GENERIC_OR_UNATTRIBUTED
8,RATIONAL_CANCEL,selected-primes-plus-full-gcd,BIN_PRIME_FRONTIER_SPEC_B4_K,BIN_PRIME_FRONTIER_PROP_K,1,4,-1,-1,88,64552,false,false,false,GENERIC_OR_UNATTRIBUTED
8,RATIONAL_CANCEL,selected-primes-plus-full-gcd,BIN_CONTENT_ANSWER_LRU_K,BIN_DIRECT_BEST,2,0,8,8,-82,-44864,true,true,false,GENERIC_MEMOIZATION
8,RATIONAL_CANCEL,selected-primes-plus-full-gcd,BIN_FRONTIER_NOPROP_K,BIN_DIRECT_BEST,2,0,8,8,-80,-43102,true,true,false,GENERIC_CHECKPOINT
8,RATIONAL_CANCEL,selected-primes-plus-full-gcd,BIN_PRIME_FRONTIER_PROP_K,BIN_DIRECT_BEST,2,0,8,8,-80,-43102,true,true,false,GENERIC_OR_UNATTRIBUTED
8,RATIONAL_CANCEL,selected-primes-plus-full-gcd,BIN_PRIME_FRONTIER_PROP_K,BIN_CONTENT_ANSWER_LRU_K,2,0,-1,-1,2,1762,false,false,false,GENERIC_OR_UNATTRIBUTED
8,RATIONAL_CANCEL,selected-primes-plus-full-gcd,BIN_PRIME_FRONTIER_PROP_K,BIN_FRONTIER_NOPROP_K,2,0,0,0,0,0,true,false,false,GENERIC_OR_UNATTRIBUTED
8,RATIONAL_CANCEL,selected-primes-plus-full-gcd,BIN_PRIME_FRONTIER_SPEC_B1_K,BIN_PRIME_FRONTIER_PROP_K,2,1,-1,-1,22,17910,false,false,false,GENERIC_OR_UNATTRIBUTED
8,RATIONAL_CANCEL,selected-primes-plus-full-gcd,BIN_PRIME_FRONTIER_SPEC_B4_K,BIN_PRIME_FRONTIER_PROP_K,2,4,-1,-1,88,71640,false,false,false,GENERIC_OR_UNATTRIBUTED
8,RATIONAL_CANCEL,selected-primes-plus-full-gcd,BIN_CONTENT_ANSWER_LRU_K,BIN_DIRECT_BEST,4,0,8,12,-82,-23096,true,true,false,GENERIC_MEMOIZATION
8,RATIONAL_CANCEL,selected-primes-plus-full-gcd,BIN_FRONTIER_NOPROP_K,BIN_DIRECT_BEST,4,0,8,12,-80,-19520,true,true,false,GENERIC_CHECKPOINT
8,RATIONAL_CANCEL,selected-primes-plus-full-gcd,BIN_PRIME_FRONTIER_PROP_K,BIN_DIRECT_BEST,4,0,8,12,-80,-19520,true,true,false,GENERIC_OR_UNATTRIBUTED
8,RATIONAL_CANCEL,selected-primes-plus-full-gcd,BIN_PRIME_FRONTIER_PROP_K,BIN_CONTENT_ANSWER_LRU_K,4,0,-1,-1,2,3576,false,false,false,GENERIC_OR_UNATTRIBUTED
8,RATIONAL_CANCEL,selected-primes-plus-full-gcd,BIN_PRIME_FRONTIER_PROP_K,BIN_FRONTIER_NOPROP_K,4,0,0,0,0,0,true,false,false,GENERIC_OR_UNATTRIBUTED
8,RATIONAL_CANCEL,selected-primes-plus-full-gcd,BIN_PRIME_FRONTIER_SPEC_B1_K,BIN_PRIME_FRONTIER_PROP_K,4,1,-1,-1,4,8538,false,false,false,GENERIC_OR_UNATTRIBUTED
8,RATIONAL_CANCEL,selected-primes-plus-full-gcd,BIN_PRIME_FRONTIER_SPEC_B4_K,BIN_PRIME_FRONTIER_PROP_K,4,4,-1,-1,88,86152,false,false,false,GENERIC_OR_UNATTRIBUTED
8,DIVISIBILITY_FILTER_PERSISTENT,four-slot-reuse,BIN_CONTENT_ANSWER_LRU_K,BIN_DIRECT_BEST,1,0,-1,-1,174,172992,false,false,false,GENERIC_MEMOIZATION
8,DIVISIBILITY_FILTER_PERSISTENT,four-slot-reuse,BIN_FRONTIER_NOPROP_K,BIN_DIRECT_BEST,1,0,-1,-1,200,184380,false,false,false,GENERIC_CHECKPOINT
8,DIVISIBILITY_FILTER_PERSISTENT,four-slot-reuse,BIN_PRIME_FRONTIER_PROP_K,BIN_DIRECT_BEST,1,0,-1,-1,200,184380,false,false,false,GENERIC_OR_UNATTRIBUTED
8,DIVISIBILITY_FILTER_PERSISTENT,four-slot-reuse,BIN_PRIME_FRONTIER_PROP_K,BIN_CONTENT_ANSWER_LRU_K,1,0,-1,-1,26,11388,false,false,false,GENERIC_OR_UNATTRIBUTED
8,DIVISIBILITY_FILTER_PERSISTENT,four-slot-reuse,BIN_PRIME_FRONTIER_PROP_K,BIN_FRONTIER_NOPROP_K,1,0,0,0,0,0,true,false,false,GENERIC_OR_UNATTRIBUTED
8,DIVISIBILITY_FILTER_PERSISTENT,four-slot-reuse,BIN_PRIME_FRONTIER_SPEC_B1_K,BIN_PRIME_FRONTIER_PROP_K,1,1,-1,-1,44,32276,false,false,false,GENERIC_OR_UNATTRIBUTED
8,DIVISIBILITY_FILTER_PERSISTENT,four-slot-reuse,BIN_PRIME_FRONTIER_SPEC_B4_K,BIN_PRIME_FRONTIER_PROP_K,1,4,-1,-1,176,129104,false,false,false,GENERIC_OR_UNATTRIBUTED
8,DIVISIBILITY_FILTER_PERSISTENT,four-slot-reuse,BIN_CONTENT_ANSWER_LRU_K,BIN_DIRECT_BEST,2,0,-1,-1,113,341733,false,false,false,GENERIC_MEMOIZATION
8,DIVISIBILITY_FILTER_PERSISTENT,four-slot-reuse,BIN_FRONTIER_NOPROP_K,BIN_DIRECT_BEST,2,0,-1,-1,138,363254,false,false,false,GENERIC_CHECKPOINT
8,DIVISIBILITY_FILTER_PERSISTENT,four-slot-reuse,BIN_PRIME_FRONTIER_PROP_K,BIN_DIRECT_BEST,2,0,-1,-1,138,363254,false,false,false,GENERIC_OR_UNATTRIBUTED
8,DIVISIBILITY_FILTER_PERSISTENT,four-slot-reuse,BIN_PRIME_FRONTIER_PROP_K,BIN_CONTENT_ANSWER_LRU_K,2,0,-1,-1,25,21521,false,false,false,GENERIC_OR_UNATTRIBUTED
8,DIVISIBILITY_FILTER_PERSISTENT,four-slot-reuse,BIN_PRIME_FRONTIER_PROP_K,BIN_FRONTIER_NOPROP_K,2,0,0,0,0,0,true,false,false,GENERIC_OR_UNATTRIBUTED
8,DIVISIBILITY_FILTER_PERSISTENT,four-slot-reuse,BIN_PRIME_FRONTIER_SPEC_B1_K,BIN_PRIME_FRONTIER_PROP_K,2,1,-1,-1,44,35820,false,false,false,GENERIC_OR_UNATTRIBUTED
8,DIVISIBILITY_FILTER_PERSISTENT,four-slot-reuse,BIN_PRIME_FRONTIER_SPEC_B4_K,BIN_PRIME_FRONTIER_PROP_K,2,4,-1,-1,176,143280,false,false,false,GENERIC_OR_UNATTRIBUTED
8,DIVISIBILITY_FILTER_PERSISTENT,four-slot-reuse,BIN_CONTENT_ANSWER_LRU_K,BIN_DIRECT_BEST,4,0,-1,-1,26,704640,false,false,false,GENERIC_MEMOIZATION
